k id,k x,k y,k z,k accel,k steer,k steer angle,k speed,k max speed,k boost,k brake,k nitro,b x,b y,b z,b not moving,closest k x,closest k y,closest k z,blue t goal,red t goal,ball aim x,ball aim y,ball aim z
0.000000,9.697464,0.297426,-3.444129,1.000000,-1.000000,0.354671,1.948757,14.250001,1.000000,0.000000,0.000000,9.524847,0.369389,-1.629980,0.000000,9.545410,0.295899,0.208031,0.000000,0.000000,9.752092,0.369389,-3.203592
1.000000,9.879272,0.287188,0.113107,0.000000,-0.083438,0.412811,-7.181199,14.250001,0.000000,1.000000,0.000000,9.610428,0.369389,-1.632356,0.000000,10.254243,0.297201,-3.012273,0.000000,0.000000,9.850686,0.369389,-0.060679
0.000000,10.254243,0.297201,-3.012273,0.000000,-1.000000,0.412811,-2.042697,14.250001,1.000000,1.000000,0.000000,9.610428,0.369389,-1.632356,0.000000,9.929101,0.287723,0.083399,0.000000,0.000000,9.839660,0.369389,-3.205679
1.000000,10.146792,0.289162,-0.188112,0.000000,0.833277,0.264712,4.964040,14.250001,0.000000,1.000000,0.000000,9.868085,0.369389,-1.675129,0.000000,9.215796,0.296361,-3.464928,0.000000,0.000000,10.114796,0.369389,-0.104451
0.000000,9.215796,0.296361,-3.464928,1.000000,1.000000,0.340960,2.408305,14.250001,1.000000,0.000000,0.000000,9.868085,0.369389,-1.675129,0.000000,10.111767,0.289270,-0.163742,0.000000,0.000000,10.103166,0.369389,-3.247589
1.000000,8.529050,0.296502,0.612190,1.000000,-0.355571,0.358167,1.831570,14.250001,0.000000,0.000000,0.000000,9.844492,0.369389,-1.674014,0.000000,9.984682,0.289761,-3.528308,0.000000,0.000000,10.090623,0.369389,-0.103245
0.000000,9.984682,0.289761,-3.528308,0.000000,1.000000,0.412811,-6.060671,14.250001,1.000000,1.000000,0.000000,9.844492,0.369389,-1.674014,0.000000,8.515722,0.296456,0.618320,0.000000,0.000000,10.079028,0.369389,-3.246555
1.000000,9.986454,0.289707,-0.103879,0.000000,-1.000000,0.412811,-6.080817,14.250001,0.000000,1.000000,0.000000,9.794580,0.369389,-1.672959,0.000000,9.896198,0.287555,-3.629242,0.000000,0.000000,10.039488,0.369389,-0.101999
0.000000,9.896198,0.287555,-3.629242,1.000000,-1.000000,0.254039,5.321776,14.250001,1.000000,0.000000,0.000000,9.794580,0.369389,-1.672959,0.000000,10.035375,0.290205,-0.106346,0.000000,0.000000,10.027959,0.369389,-3.245672
1.000000,9.927236,0.286811,0.016217,1.000000,1.000000,0.242311,5.714887,14.250001,0.000000,0.000000,0.000000,9.664139,0.369389,-1.670224,0.000000,7.156996,0.280998,-1.869797,0.000000,0.000000,9.905851,0.369389,-0.098770
0.000000,7.156996,0.280998,-1.869797,1.000000,0.369945,0.165188,8.299902,14.250001,1.000000,0.000000,0.000000,9.664139,0.369389,-1.670224,0.000000,9.880284,0.286786,0.020548,0.000000,0.000000,9.894492,0.369389,-3.243383
1.000000,6.810098,0.282365,-1.032295,1.000000,-0.847865,0.181704,7.746332,14.250001,0.000000,0.000000,0.000000,9.047411,0.369389,-1.609177,0.000000,3.995296,0.286145,-0.224772,0.000000,0.000000,9.273807,0.369389,-0.035444
0.000000,3.995296,0.286145,-0.224772,1.000000,1.000000,0.222984,6.362688,14.250001,1.000000,0.000000,0.000000,9.047411,0.369389,-1.609177,0.000000,6.753510,0.282444,-1.062487,0.000000,0.000000,9.263577,0.369389,-3.184349
1.000000,3.557620,0.288150,-1.440287,1.000000,-1.000000,0.246182,5.585121,14.250001,0.000000,0.000000,0.000000,7.821778,0.369389,-1.478186,0.000000,1.646539,0.293590,-0.840345,0.000000,0.000000,8.017606,0.369389,0.099643
0.000000,1.646539,0.293590,-0.840345,1.000000,1.000000,0.306710,3.556316,14.250001,1.000000,0.000000,0.000000,7.821778,0.369389,-1.478186,0.000000,3.513436,0.288268,-1.427234,0.000000,0.000000,8.009546,0.369389,-3.056995
1.000000,1.608614,0.294575,-0.517177,1.000000,-1.000000,0.322834,3.015872,14.250001,0.000000,0.000000,0.000000,5.987003,0.369389,-1.279282,0.000000,0.786520,0.297643,-1.457387,0.000000,0.000000,6.136899,0.369389,0.303572
0.000000,0.786520,0.297643,-1.457387,1.000000,1.000000,0.359766,1.777967,14.250001,1.000000,0.000000,0.000000,5.987003,0.369389,-1.279282,0.000000,1.590340,0.294635,-0.500743,0.000000,0.000000,6.131715,0.369389,-2.862617
1.000000,0.511954,0.292858,-0.093208,1.000000,-1.000000,0.325418,2.929259,14.250001,0.000000,0.000000,0.000000,3.542996,0.369389,-1.013274,0.000000,0.352185,0.293887,-1.452589,0.000000,0.000000,3.631587,0.369389,0.574190
0.000000,0.352185,0.293887,-1.452589,1.000000,1.000000,0.412811,-1.354117,14.250001,1.000000,0.000000,0.000000,3.542996,0.369389,-1.013274,0.000000,0.488572,0.292762,-0.096213,0.000000,0.000000,3.629459,0.369389,-2.600857
1.000000,0.020713,0.280169,0.868150,1.000000,-0.171911,0.397110,0.526272,14.250001,0.000000,0.000000,0.000000,0.489339,0.369382,-0.684260,0.000000,0.007477,0.281240,-2.228937,0.000000,0.000000,0.501530,0.369382,0.905628
0.000000,0.007477,0.281240,-2.228937,1.000000,0.134342,0.412811,-0.388422,14.250001,1.000000,0.000000,0.000000,0.489339,0.369382,-0.684260,0.000000,0.020435,0.278450,0.871236,0.000000,0.000000,0.501884,0.369382,-2.274146
1.000000,-0.002484,0.265162,6.878284,1.000000,-0.000610,0.098287,14.250001,14.250001,0.000000,0.000000,0.000000,0.004125,0.369389,-0.035641,1.000000,-0.002380,0.265162,-7.757975,1.000000,0.000000,0.004227,0.369389,1.554294
0.000000,-0.002380,0.265162,-7.757975,1.000000,0.000549,0.098287,14.250001,14.250001,1.000000,0.000000,0.000000,0.004125,0.369389,-0.035641,1.000000,-0.002623,0.265162,6.996811,1.000000,0.000000,0.004125,0.369389,-2.563534
1.000000,-0.006167,0.265162,13.989928,1.000000,0.000000,0.098287,14.250001,14.250001,0.000000,0.000000,0.000000,0.004125,0.369389,-0.035641,1.000000,-0.006169,0.265162,-14.869619,1.000000,0.000000,0.004227,0.369389,1.554294
0.000000,-0.006169,0.265162,-14.869619,1.000000,0.000000,0.098287,14.250001,14.250001,1.000000,0.000000,0.000000,0.004125,0.369389,-0.035641,1.000000,-0.006167,0.265162,14.108456,1.000000,0.000000,0.004125,0.369389,-2.563534
1.000000,-0.006176,0.266486,21.054348,1.000000,0.000000,0.099819,13.847535,14.250001,0.000000,0.000000,0.000000,0.004125,0.369389,-0.035641,1.000000,-0.006165,0.266486,-21.934063,1.000000,0.000000,0.004227,0.369389,1.554294
0.000000,-0.006165,0.266486,-21.934063,1.000000,0.000000,0.099819,13.847576,14.250001,1.000000,0.000000,0.000000,0.004125,0.369389,-0.035641,1.000000,-0.006176,0.266525,21.169403,1.000000,0.000000,0.004125,0.369389,-2.563534
